,0,1,2,3,4,5,6,7,8,9,10
0,1332472807226150914,232133049,JASA TUGAS HUKUM,himalayaaa__,Indonesia,2010-12-30 09:43:32,3995,3157,False,2020-11-27 23:54:08,"Gue mah fokus pada kesimpulannya, ini menolak atau mendukung RUU PKS? Kalo menolak okay skip. Soal cara penulisan bukan ranah gue, biar yang expert aja yang menilai https://t.co/fNx5oo5BLQ"
1,1332459429220872192,91255162,Fraksi PKS DPR RI,FPKSDPRRI,Jakarta Capital Region,2009-11-20 02:53:30,171695,63,True,2020-11-27 23:00:58,"Anggota Baleg FPKS: Tidak Ada Urgensi untuk Meneruskan RUU HIP https://t.co/LSDWXXvAPR lewat @FPKSDPRRI | @pakmul63 

#SemangatBaruPKS 
#PKSPelayanRakyat 
#BersamaMelayaniRakyat"
2,1332457831883100161,1137227060416356352,Arief Setiawan II,Nitro_Foxit,"Kota Tangerang, Banten",2019-06-08 05:17:14,75,249,False,2020-11-27 22:54:37,@elpanjullo @RahayuSaraswati @nongandah @TsamaraDKI @DaraNasution__ @kokokdirgantoro Para penolak RUU PKS mungkin ketakutan HRS dijerat pakai pasal di RUU ini jika sudah disahkan
3,1332457105744404490,1232730363203424256,Joon’s Moonchild🌙,aesth_whole,,2020-02-26 18:13:35,24,107,False,2020-11-27 22:51:44,@dikaagustianna @BEM_Unila Dr sini kita smua jd tau org2 macem apa yg menolak RUU PKS 🤣 n seberapa pintar n bs dipercayanya mrk
4,1332451769260011521,1245942903907602433,Otsby Okta Fernanda,goodbeyyyy,Indonesia,2020-04-03 05:15:35,204,178,False,2020-11-27 22:30:32,"RUU PKS BUKAN SOLUSI, PKS ADALAH SOLUSI https://t.co/yaCALWStC8"
5,1332449909904064512,2958782773,Gus Jul,elpanjullo,"Tangerang, Indonesia",2015-01-04 18:21:44,2158,1644,False,2020-11-27 22:23:08,"Rahayu Saraswati: Jangan Mengatakan RUU PKS Adalah Isu Perempuan. Cakep bats dah pernyataan Mpok @RahayuSaraswati mengenai RUU PKS. Makanya aye sangat mendukung pengesahan RUU PKS. #SahkanRUUPKS @nongandah
@TsamaraDKI @DaraNasution__ @kokokdirgantoro https://t.co/bcWoIbB9I9"
6,1332438550009155585,1031865096,Zara | Ijah,Zararaaaaa,,2012-12-24 03:52:43,81,320,False,2020-11-27 21:38:00,"@IraaYsf Halo Kak! Ingin RUU PKS segera disahkan?
Mari bersama-sama desak Ketua DPR RI Puan Maharani agar RUU PKS kembali masuk daftar prolegnas prioritas &amp; dapat segera disahkan. Suarakan desakanmu di https://t.co/eTu2WjlI1d
Jangan lupa disebarluaskan ke sesama pendukung RUU PKS ya kak!"
7,1332438453926064129,2465905382,sheila,sheajla,يوجياكرتا,2014-04-27 09:58:15,117,107,False,2020-11-27 21:37:37,Semoga ruu pks segera disahkan 😞
8,1332438041902792704,1031865096,Zara | Ijah,Zararaaaaa,,2012-12-24 03:52:43,81,320,False,2020-11-27 21:35:59,"@edbertyazawa @petanihalu Halo Kak! Ingin RUU PKS segera disahkan?
Mari bersama-sama desak Ketua DPR RI Puan Maharani agar RUU PKS kembali masuk daftar prolegnas prioritas &amp; dapat segera disahkan. Suarakan desakanmu di https://t.co/eTu2WjlI1d
Jangan lupa disebarluaskan ke sesama pendukung RUU PKS ya kak!"
9,1332437120305176578,1031865096,Zara | Ijah,Zararaaaaa,,2012-12-24 03:52:43,81,320,False,2020-11-27 21:32:19,"@wilda1ks Halo Kak! Ingin RUU PKS segera disahkan?
Mari bersama-sama desak Ketua DPR RI Puan Maharani agar RUU PKS kembali masuk daftar prolegnas prioritas &amp; dapat segera disahkan. Suarakan desakanmu di https://t.co/eTu2WjlI1d
Jangan lupa disebarluaskan ke sesama pendukung RUU PKS ya kak!"
10,1332437069516464129,1031865096,Zara | Ijah,Zararaaaaa,,2012-12-24 03:52:43,81,320,False,2020-11-27 21:32:07,"@memekriot @MikeNotMarx Halo Kak! Ingin RUU PKS segera disahkan?
Mari bersama-sama desak Ketua DPR RI Puan Maharani agar RUU PKS kembali masuk daftar prolegnas prioritas &amp; dapat segera disahkan. Suarakan desakanmu di https://t.co/eTu2WjDjpN
Jangan lupa disebarluaskan ke sesama pendukung RUU PKS ya kak!"
11,1332432319060250625,68131264,Mefenamat Acid,barbieproletar,"The Hague, The Netherlands",2009-08-23 12:05:57,4848,557,False,2020-11-27 21:13:14,@MikeNotMarx Emang di ruu pks hukuman yang dikasih apa ke pelaku?
12,1332423735324774400,209562504,"Hello, this is...",MikeNotMarx,The Crossroad ,2010-10-29 12:41:41,392,460,False,2020-11-27 20:39:08,"gw pun tau tentang konsekuensi dari RUU PKS ini bakal terus melanggengkan kekerasan, tapi akan bergeser kemana derajat terjadinya kekerasan ini, apakah bener berkurang, atau yg berkurang KS tapi bergeser ke kekerasan lain? Ini masih belum bisa gw perhitungkan.

22/n https://t.co/QCkgiZiv1J"
13,1332414852107825165,68131264,Mefenamat Acid,barbieproletar,"The Hague, The Netherlands",2009-08-23 12:05:57,4848,557,False,2020-11-27 20:03:50,@MikeNotMarx Ruu pks itu pake prinsip transformatif justice kok
14,1332412778921881601,209562504,"Hello, this is...",MikeNotMarx,The Crossroad ,2010-10-29 12:41:41,392,460,False,2020-11-27 19:55:36,"@obfusticated_ Aku jawab pendek dan sederhana juga gitu?
Ya akan aku jawab mengesahkan RUU PKS itu bener meminta ke DPR.

Di twit selanjutnya aku kasih penjelasannya, kalo males dibaca dan dipahami juga ya gpp."
15,1332406210448871424,209562504,"Hello, this is...",MikeNotMarx,The Crossroad ,2010-10-29 12:41:41,392,460,False,2020-11-27 19:29:30,"Seharusnya RUU PKS tidak menjadi hal yg konfliktual sama TJ. Secara de facto kekuatan negara dan elemen2nya itu udah ada, dan dengan adanya UU ini justru akan membelejeti kekuatan itu pelan2. Sistem yg patriarkal akan terguncang, teori relasi kuasa dan gender akan diuji.

19/n https://t.co/o3azw6Zye9"
16,1332401812217995264,1290158725114638336,🌬wooosh🌬,th3ndofera,,2020-08-03 05:33:13,16,61,False,2020-11-27 19:12:01,baiq ak akan mendalami ruu pks
17,1332398430237310976,1329056122674630661,Bella,meowningbell,Zugzwang,2020-11-18 13:37:44,1,36,False,2020-11-27 18:58:35,"@dikaagustianna @BEM_Unila Aku pikir BEM Unila bakal mengkritisi RUU PKS yang kurang transformatif atau apalah hal-hal substansial lainnya, ternyata ekspektasiku ketinggian"
18,1332398184832798720,283338759,ナディア/nadia,naputami,Indonesia,2011-04-17 03:06:20,148,352,False,2020-11-27 18:57:36,"Nomor 1 ga ada penjelasannya kenapa RUU PKS mendukung liberalisasi hak2 seksual. Nomor 2 ambiguitasnya ga dijelasin gimana-gimananya. Kata hasrat seksual ujug2 di bold ga tau maksudnya apa. Nomor 3  emg RUU PKS udh banyak yang mengkaji, sih masalah asas keterbukaannya di mana? https://t.co/TUglIT31ir"
19,1332397544526123008,706817013826473985,Garuda News,GarudaNewsId,Indonesia,2016-03-07 12:21:22,31,1,False,2020-11-27 18:55:04,PKS Desak RUU HIP Tak Dimasukkan ke Prolegnas https://t.co/Ns60uPnlIz https://t.co/Ave76YwB3i
20,1332391913253584896,68930552,Media Indonesia,mediaindonesia,Jakarta - Indonesia,2009-08-26 08:17:20,1468753,81,True,2020-11-27 18:32:41,Amnesty Desak RUU PKS Masuk Prolegnas Prioritas 2021  https://t.co/erV6un1OsW
21,1332389238470426626,2320147081,unresisted,SherHeartAttac,Indonesia,2014-01-31 03:15:37,59,137,False,2020-11-27 18:22:03,@NormalizeEvery Normalize tolak ruu pks
22,1332386794466279426,1098674858706100225,frey @ pleathe gib zhongli,post_coenam,cyber account,2019-02-21 20:04:33,100,182,False,2020-11-27 18:12:21,@tatangila @dcndranthcma @kishi_no_kiss Fandom activism bawahnya reply suruh aktivisme ke gerakan menolak RUU PKS 😔
23,1332385354901377024,1241993514398781440,Mohammad Iss,belummati_,"Jawa Tengah, Indonesia",2020-03-23 07:41:54,2295,215,False,2020-11-27 18:06:37,"RUU PKS atau isu perempuan itu bagian dari tuntutan mendesak, Bon. https://t.co/rdhGkv8kPR"
24,1332382561977335808,1243550985848381440,sayang,akucintakamudeh,indonesia,2020-03-27 14:50:45,46,88,False,2020-11-27 17:55:31,"Apakah alasan banyak bem yang menolak ruu pks?
Sumpah jadi kepo bangsat🙂"
25,1332379497513984001,1309910196987150336,d,migresyoon,,2020-09-26 17:38:48,156,167,False,2020-11-27 17:43:21,pks tolak ruu pks
26,1332378329777721344,283338759,ナディア/nadia,naputami,Indonesia,2011-04-17 03:06:20,148,352,False,2020-11-27 17:38:42,"Ini lagi marak, ya BEM nolak RUU PKS pake argumen-argumen kurang bermutu?"
27,1332374778112475136,1105851668225126402,umik umay,mujeruk,"Milky Way, Earth",2019-03-13 15:22:38,83,117,False,2020-11-27 17:24:36,"Gak peduli isinya mau RUU PKS, mau bumi datar, atau bukti kevalidan Sunda Empire kek, kalau metodenya cacat, sumber literaturnya tidak kredibel artinya tidak layak dipublikasi. Harusnya mereka malu dan segera di-take down."
28,1332367761335484417,1076456561797525506,clewn🤡,creszentia_,Indonesia ,2018-12-22 12:36:58,45,255,False,2020-11-27 16:56:43,@txtdrpemerintah RUU PKS kapan?
29,1332366768069754882,1193581982099230720,Danang Maulana,danangmauulana,"Surakarta, Jawa Tengah",2019-11-10 17:31:45,133,268,False,2020-11-27 16:52:46,"Akhir"" ini kok BEM yg tergabung di SI banyak yg kasih sikap menolak RUU PKS yak, intruksi dari mana ? Ya salammm https://t.co/ypN6vzE5uc"
30,1332364506555580416,1015189881281130497,𝙖𝙧𝙞 • end smt exam era,reputativz13,🇮🇩,2018-07-06 11:05:03,716,755,False,2020-11-27 16:43:47,"@MaxBooc dari kapantau ngotot banget nolak ruu pks tuh bem unand, jd curiga isinya orang2 yg suka melakukan alias pelaku 😏"
31,1332363675592585216,33869662,Lucius Karus,luciuskarus,"Kembangan, Indonesia",2009-04-21 10:43:03,1089,745,False,2020-11-27 16:40:29,BEM Universitas Andalas Tolak RUU PKS Masuk Prolegnas 2021 https://t.co/zYVH9HyYiD
32,1332359257103032321,1150704633821581312,wite,wixiwixit,hogwarts,2019-07-15 09:52:18,235,288,False,2020-11-27 16:22:55,Karena ruu ketahan keluarga dikeluarin dari prolegnas huehue meanwhile RUU PKS masuk 🥳🥳🥳
33,1332357624742887425,1081378804474368000,kafila,bobigoodboy,Bandung City Pride,2019-01-05 02:36:12,156,653,False,2020-11-27 16:16:26,"Haloo kepengurusan @BEM_Unila saat ini wabil khusus kastratnya, bisa kali diundang buat kajian online bahas ruu pks bareng kastrat gue? https://t.co/XPhu5zHqCE"
34,1332357484795756546,209562504,"Hello, this is...",MikeNotMarx,The Crossroad ,2010-10-29 12:41:41,392,460,False,2020-11-27 16:15:53,"Biar jelas gw ada dimana, gw ada di pendukung #SahkanRUUPenghapusanKekerasanSeksual 
Sebisa mungkin gw akan secara aktif untuk memasukkan narasi2 tentang kampanye RUU PKS ini dan memastikan menjegal narasi mereka yang MENOLAK RUU PKS ini.

8/n https://t.co/J7ZBymYDG1"
35,1332353668331421696,273390317,Nida⟭⟬,nidanurnfsh,,2011-03-28 11:59:31,613,430,False,2020-11-27 16:00:43,Kenapa banyak BEM yang nolak RUU PKS? M https://t.co/VocOl5xMzD
36,1332350302444371968,1147062974865010688,ezzat ♦️ ⊹˚ . *,ezzatfkr,ig: @ezzatfkr,2019-07-05 08:41:39,450,317,False,2020-11-27 15:47:20,badan2 mahasiswa penolak ruu pks: https://t.co/4hb0cuhTM6
37,1332347662994083840,1280413476762992640,Yayas,fleursetlune,,2020-07-07 08:09:05,27,123,False,2020-11-27 15:36:51,Tp sumpah ya kok ada sih yang kontra sama RUU PKS? Helloooo????
38,1332346765408759808,1123457568989437953,LIFE is TEST,ZDEEN_00,Earth +62,2019-05-01 05:22:12,85,586,False,2020-11-27 15:33:17,"@bemkmunand JENIUS! 
RUU CIPTAKER ditolak, eh tetap disahkan.
RUU PKS ditolak, eh semoga disahkan."
39,1332346400990842880,218012244,maxjoe,maxraymondj,Bekasi - Jakarta,2010-11-21 05:00:30,157,132,False,2020-11-27 15:31:50,@_anggun Mau jawab jahat sebelum RUU PKS disahkan padahal gue
40,1332346297865572353,209562504,"Hello, this is...",MikeNotMarx,The Crossroad ,2010-10-29 12:41:41,392,460,False,2020-11-27 15:31:25,"PERTAMA kita coba kupas dulu siapa aja yg mendukung, menolak, dan tidak mendukung RUU PKS ini. 
Dan untuk memperjelas TIDAK MENDUKUNG bukan berarti MENOLAK. Sama seperti GOLPUT bukan berarti tidak mendukung si A atau si B, aplagi dianggap pasif 😤

2/n"
41,1332345791210430467,1629829843,D P,dendypra_99,Indonesia,2013-07-29 08:00:30,159,277,False,2020-11-27 15:29:25,"RUU PKS kayanya bisa hidupin gairah berdiskusi terbuka di ranah kampus. Ya keliatan ada beberapa kampus yg BEM sama mahasiswanya bertentangan dalam bersikap.

Yuk kampus lain kayanya seru ni dibuat suatu diskursus dan debat internal tentang ini"
42,1332344710833192961,1137227060416356352,Arief Setiawan II,Nitro_Foxit,"Kota Tangerang, Banten",2019-06-08 05:17:14,75,249,False,2020-11-27 15:25:07,@mayarahmanah @muhammadiyah Maksudnya gagalkan RUU PKS biar si habib cabul kebanggaannya gak bs dipidana?
43,1332344566003814400,1137227060416356352,Arief Setiawan II,Nitro_Foxit,"Kota Tangerang, Banten",2019-06-08 05:17:14,75,249,False,2020-11-27 15:24:32,@Baby_Strong_ @srireski04 @muhammadiyah Gagalkan RUU PKS biar si habib cabul kebanggaannya gak bs dipidana
44,1332344421950521344,236200461,Kokok Dirgantoro,kokokdirgantoro,BSD,2011-01-10 01:39:03,48080,2038,False,2020-11-27 15:23:58,"https://t.co/ZqoszP79zw

Terima kasih @RahayuSaraswati 🙏"
